Question,Answer
"Who writes code, or does other technical work on your product? Was any of it done by a non-founder?","Anders built the working prototype with AI-assisted coding (Claude Code, VS Code). Unity VR scene on Meta Quest 3. Real-time pipeline pulls EEG and heart rate from a Muse S headband through Python (muselsl, pylsl, websockets). A biofeedback orb in the scene responds to the user's physiology live.

Shaunak co-founded the MedVR Symposium and Hackathon for VR/AR in Healthcare in 2019 and has Unity experience from building a patient education tool. He owns the visual safety protocols, eye-tracking metrics, and ophthalmology-side engineering decisions.

All technical work to date has been done by founders. No non-founder contributions."
"Are you looking for a cofounder?","Open for a cofounder in software development.
Current two-founder team:

Anders Chan, clinical psychologist (UCLA postdoc, PsyD Long Island University). Three years of eye-gaze tracking research before clinical training.

Shaunak Bakshi, MD (Harvard), Director of Refractive Services at New England Vision and Vermont Eye Laser. Co-founder of the MedVR Symposium and Hackathon for VR/AR in Healthcare since 2019.

Therapy protocols and visual science, in one team. Both building."
"Company name","Blind Spot.

(Backup names if trademark or domain falls through: Foveal, Saccade.)"
"Describe what your company does in 50 characters or less","VR Therapy that Adapts to Your Nervous System

(47 chars)"
"Company URL","thepsychology.ai/lab/blind-spot (existing site, $300 per month MRR, can serve as a holding URL until rebrand ships)."
"Demo","Saturday's user test video. Tamilyn wears Quest 3 plus Muse S. She breathes slowly. The biofeedback orb expands and shifts from red to green as her heart rate lowers. Forest VR scene. Real EEG and heart rate streaming live."
"What is your company going to make?","Most VR therapy plays a video at you. No feedback, no adaptation. We close the loop.

Blind Spot reads your EEG, heart rate variability, and eye gaze, then changes the VR environment in real time based on what your body is doing. The system knows when you are stressed, when you are calm, and when you are avoiding eye contact. It responds.

Phase 1, now: anxiety and performance. Practice job interviews and public speaking with biofeedback showing your stress response. Toastmasters with brain monitoring. ACT in VR (breathing, defusion, mindfulness) visualized with live physiology. Direct-to-consumer wellness, no FDA needed at this tier.

Phase 2: chronic pain, FDA pathway. EaseVRx is the only FDA-cleared VR therapeutic. n=1,093, 12-month durability data. Pain only. Open-loop. We extend their playbook with closed-loop biofeedback and pursue FDA De Novo. That unlocks insurance reimbursement.

Phase 3 and beyond: PTSD, autism, depression, surgical training. Same engine, different module. Eye gaze alone detects depression at 86 percent accuracy in a single session. Nobody else has this stack.

The team: a clinical psychologist who did three years of eye-tracking research before clinical training, and an ophthalmologist who co-founded the MedVR Symposium six years ago and directs refractive surgery in Vermont."
"Where do you live now, and where would the company be based after YC?","Boston, USA (Anders) and Vermont, USA (Shaunak). Post-YC, primary operations in NY. Clinical pilot sites maintained in Boston and Vermont."
"Explain your decision regarding location","Anders is in Boston. Access to Harvard, MGH, and BU for clinical pilots and research partnerships. Shaunak is in Vermont, practicing ophthalmologist with surgical expertise and a Mass Eye and Ear fellowship still in his network. Post-YC, primary operations move to NY for XR engineering talent and digital health investors. Pilot sites stay in Boston and Vermont."
"How far along are you?","Working prototype on Meta Quest 3. The Muse S headband streams EEG and heart rate through Python (Lab Streaming Layer) into the Unity scene. A biofeedback orb expands and shifts color in response to live physiology. First real user test was Saturday. Video available.

Eye tracking integration and a therapist dashboard are next.

Adjacent traction at thepsychology.ai (Anders' existing site): $300 per month, 4 postdocs have passed the EPPP licensure exam. Same brand currently runs an automated intake, scheduling, insurance verification, and payroll pipeline for Inzinna Therapy Group. Proves we can build, sell, and retain."
"How long have each of you been working on this? How much of that has been full-time?","Anders: 7 months full-time on thepsychology.ai. 1 month part-time on the VR prototype. 6 plus years of clinical work in chronic pain, anxiety, PTSD, substance use, and gender health (UCLA, NYU, Brooklyn outpatient). 3 years of eye-gaze tracking neuropsychology research at SUNY Old Westbury (2015 to 2018) before clinical training, validating eye tracking for accommodative interventions in students with disabilities.

Shaunak: 6 plus years building the healthcare VR/AR community as co-founder of the MedVR Symposium and Hackathon for VR/AR in Healthcare. 2 years in Mass Eye and Ear's Disruptive Technology Lab. 1 week ramped on this specific prototype.

Both currently employed full-time in clinical roles. Going full-time on Blind Spot when funded."
"What tech stack are you using, or planning to use?","Unity (C#) on Meta Quest 3. Python for sensor processing: muselsl and pylsl for Muse S EEG and heart rate, Lab Streaming Layer for sync, websockets to Unity.

Roadmap: Apple Watch HRV via WatchOS plus HealthKit, Quest 3 built-in eye tracking API, Photon Fusion for shared multiplayer rooms.

AI tools: Claude Code for development."
"Are people using your product?","No. Prototype stage. First real user test was Saturday. Video available as the demo attachment."
"Do you have revenue?","Not from Blind Spot. The founder's adjacent product, thepsychology.ai, makes $300 per month teaching psychology postdocs to pass the EPPP licensure exam. 4 have passed so far.

Same brand also runs an intake automation, scheduling, insurance verification, and payroll pipeline for Inzinna Therapy Group. Paid contract. Proves the team can build, sell, and retain."
"Why did you pick this idea to work on? Do you have domain expertise in this area? How do you know people need what you're making?","We are both clinicians who see the gap every day.

Anders is a clinical psychologist (UCLA postdoc, PsyD) who has treated thousands of patients with anxiety, PTSD, and chronic pain across UCLA, NYU, and Brooklyn outpatient settings. He ran ACT-based chronic pain groups with sickle cell patients at Ronald Reagan UCLA Medical Center. He also did three years of eye-gaze tracking neuropsychology research at SUNY Old Westbury before clinical training, validating eye tracking technology for accommodative interventions. The eye-tracking thesis is not a bet. It is a return to his earliest research.

Shaunak is an ophthalmologist (Harvard MD, Mass Eye and Ear cornea and refractive fellowship, Director of Refractive Services in Vermont). He has spent the last six years co-founding and running the MedVR Symposium and Hackathon for VR/AR in Healthcare. He has not waited for VR to come to ophthalmology. He has been building that field.

The clinical limitation is obvious to both of us. VR exposure has no idea whether the patient is actually anxious. Biofeedback devices create no immersive therapeutic context. The two have to be one system. Consumer EEG and AI coding tools finally made the integration buildable by clinicians.

The evidence base is enormous. 122 RCTs for VR chronic pain. 30 RCTs for VR anxiety. 86 percent accuracy detecting depression from gaze data in a single session. 66 to 83 percent PTSD remission with VR exposure. Nobody integrates the biofeedback loop into the session content.

We know people need this because we have been the clinicians wishing it existed."
"Who are your competitors? What do you understand about your business that they don't?","Mental health VR. AppliedVR (RelieVRx) is the only FDA-cleared VR therapeutic. Pain only. Open-loop. No biofeedback adapting session content. No eye tracking. Floreo: autism, no biofeedback. Amelia Virtual Care: exposure therapy, no physiological monitoring. Limbix shut down.

Vision therapy VR. Vivid Vision, NovaSight (CureSight), Luminopia. All work in vision (amblyopia, strabismus). None work in mental health.

Biofeedback devices. Muse meditation app. HeartMath HRV training. No immersion.

What we understand that they do not. Mental health VR companies do not have eye doctors and ship no eye-tracking science. Vision VR companies do not have psychologists. Biofeedback companies do not have VR. We sit at the intersection that nobody else can staff: a clinical psychologist with three years of eye-gaze tracking research, and an ophthalmologist who co-founded the MedVR Symposium six years ago. The therapy drives the tech, not the other way around. EaseVRx is our precedent, not our competitor. We extend their playbook with closed-loop biofeedback, eye tracking, and a condition-agnostic engine."
"How do or will you make money? How much could you make?","Phase 1: D2C wellness subscription. $25 per month. Anxiety and performance. 43 million Americans have social anxiety disorder, most untreated. 0.1 percent capture is $12.9M ARR. No FDA needed at this tier.

Phase 2: B2B SaaS. $200 to 400 per clinician seat per month, $5 to 15 per user per month for enterprise. 50,000 plus licensed psychologists in the US. Corporate wellness is a $60B plus market.

Phase 3: FDA De Novo for chronic pain. EaseVRx played this same path. CPT codes already exist for biofeedback therapy and VR-assisted exposure. Chronic pain is 50M patients and $635B per year in total cost. Payers want opioid alternatives.

Phase 4: VR surgical simulation. Eyesi costs $100K plus per program. We can ship the same training value at a fraction of that, leveraging Shaunak's domain.

Conservative 5-year target: $20 to 50M ARR. Ceiling is much higher with FDA clearance and insurance reimbursement."
"Which category best applies to your company?","Consumer Health and Wellness initially. Healthcare / Digital Health post-FDA."
"Other ideas considered","1. VR for surgical training only (Shaunak's domain, Eyesi at $100K plus). Narrower market. Kept as a future module on the same platform.

2. AI therapy chatbot with voice. Skipped due to regulatory complexity, crowded market (Woebot, Wysa), and our view that immersive VR plus biofeedback is a fundamentally different and more effective modality than text or voice.

3. VR vision therapy (amblyopia, strabismus). Proven market with FDA precedent (Luminopia, NovaSight). We chose the harder bridge between vision science and mental health. Nobody else occupies that intersection."
"Have you formed any legal entity yet?","No."
"Have you taken any investment yet?","No."
"Are you currently fundraising?","No."
"What convinced you to apply to Y Combinator?","A YC event in Boston two weeks ago. Accepted founders said 50 percent got in pre-product, on the strength of the team and idea. Anders texted Shaunak right then and there. A week later, we have a working prototype for our deep clinical expertise. A psychologist with eye-tracking research and an ophthalmologist who has been organizing healthcare VR/AR for six years is the kind of domain-expert founding team YC backs in healthcare. YC's healthcare portfolio (Nurx, Loyal) plus the ""build something people want"" ethos lines up with our approach. We are clinicians who see the gap daily, not technologists looking for a healthcare application."
"How did you hear about Y Combinator?","YC event in Boston, plus general awareness in the startup community."
"Batch preference","Summer 2026."
"Founder video (1 minute)","See pitch-updated-easevrx-framing.md for the current script. Note: that script is currently pain-first and needs a small update to reflect the hybrid framing (anxiety as Phase 1 wedge, pain as Phase 2 FDA unlock). Visual hook: Saturday's orb demo with Tamilyn."
"Demo video (3 min max, optional)","0:00 to 0:30. Problem. Current VR therapy is a one-way video. No feedback. No adaptation. Show a static VR therapy app screenshot vs. the closed-loop prototype.

0:30 to 1:30. Live demo. Quest 3 plus Muse S. Biofeedback orb responding in real time. EEG streaming. Heart rate dropping with paced breathing.

1:30 to 2:15. Use case. ""Practice a job interview in VR. Heart rate spikes when the interviewer asks a tough question. The system detects it, cues a breathing exercise, and tracks recovery time across sessions.""

2:15 to 2:45. Eye tracking and safety. Shaunak walks through gaze metrics and the screening protocol. Quest 3 eye-tracking calibration on screen.

2:45 to 3:00. Roadmap. ""Anxiety first. Then chronic pain on the EaseVRx path. Then PTSD, autism, depression, surgical training. Same engine, different module."""
