Date,Question Topic,Domain,Error Type,What I Thought,What Was Actually Correct,Lesson / Pattern
,,Biological Bases,Content Gap,,,
,,Cognitive-Affective,Misread the Question,,,
,,Social-Cultural,Fell for Trap Answer,,,
,,Growth-Lifespan,,,,
,,Assessment-Diagnosis,,,,
,,Treatment-Intervention,,,,
,,Research-Statistics,,,,
,,Ethics-Legal,,,,
,,,,,,"--- SUMMARY (paste below your log) ---"
Error Type,Count,,,,,
Content Gap,"=COUNTIF(D2:D500,""Content Gap"")",,,,,
Misread the Question,"=COUNTIF(D2:D500,""Misread the Question"")",,,,,
Fell for Trap Answer,"=COUNTIF(D2:D500,""Fell for Trap Answer"")",,,,,
,,,,,,"--- DOMAIN BREAKDOWN ---"
Domain,Content Gap,Misread,Trap,Total,,
Biological Bases,"=COUNTIFS(C2:C500,A16,D2:D500,""Content Gap"")","=COUNTIFS(C2:C500,A16,D2:D500,""Misread the Question"")","=COUNTIFS(C2:C500,A16,D2:D500,""Fell for Trap Answer"")","=SUM(B16:D16)",,
Cognitive-Affective,"=COUNTIFS(C2:C500,A17,D2:D500,""Content Gap"")","=COUNTIFS(C2:C500,A17,D2:D500,""Misread the Question"")","=COUNTIFS(C2:C500,A17,D2:D500,""Fell for Trap Answer"")","=SUM(B17:D17)",,
Social-Cultural,"=COUNTIFS(C2:C500,A18,D2:D500,""Content Gap"")","=COUNTIFS(C2:C500,A18,D2:D500,""Misread the Question"")","=COUNTIFS(C2:C500,A18,D2:D500,""Fell for Trap Answer"")","=SUM(B18:D18)",,
Growth-Lifespan,"=COUNTIFS(C2:C500,A19,D2:D500,""Content Gap"")","=COUNTIFS(C2:C500,A19,D2:D500,""Misread the Question"")","=COUNTIFS(C2:C500,A19,D2:D500,""Fell for Trap Answer"")","=SUM(B19:D19)",,
Assessment-Diagnosis,"=COUNTIFS(C2:C500,A20,D2:D500,""Content Gap"")","=COUNTIFS(C2:C500,A20,D2:D500,""Misread the Question"")","=COUNTIFS(C2:C500,A20,D2:D500,""Fell for Trap Answer"")","=SUM(B20:D20)",,
Treatment-Intervention,"=COUNTIFS(C2:C500,A21,D2:D500,""Content Gap"")","=COUNTIFS(C2:C500,A21,D2:D500,""Misread the Question"")","=COUNTIFS(C2:C500,A21,D2:D500,""Fell for Trap Answer"")","=SUM(B21:D21)",,
Research-Statistics,"=COUNTIFS(C2:C500,A22,D2:D500,""Content Gap"")","=COUNTIFS(C2:C500,A22,D2:D500,""Misread the Question"")","=COUNTIFS(C2:C500,A22,D2:D500,""Fell for Trap Answer"")","=SUM(B22:D22)",,
Ethics-Legal,"=COUNTIFS(C2:C500,A23,D2:D500,""Content Gap"")","=COUNTIFS(C2:C500,A23,D2:D500,""Misread the Question"")","=COUNTIFS(C2:C500,A23,D2:D500,""Fell for Trap Answer"")","=SUM(B23:D23)",,