institution,degree,address,city_state_zip,initial_accreditation,status,next_visit
Western Michigan University,Clinical Ph.D.,1903 W. Michigan Avenue,"Kalamazoo, MI 49008-5439","April 16, 1991",Accredited,Next site visit scheduled 2027
University of Southern Mississippi,Clinical Ph.D.,"118 College Drive, #5025 | University of Southern Mississippi","Hattiesburg, MS 39406-5025","April 27, 1979",Accredited,
Augsburg University,Clinical Psy.D.,203 Sverdrup Hall | 707 21st Ave S,"Minneapolis, MN 55454","December 08, 2021","Accredited, on contingency",Next site visit scheduled 2025
Augsburg University/Argosy University Teach-Out,Clinical Psy.D.,"203 Sverdrup Hall | 707 21st Ave S | Withdrawn, effective October 19, 2024 | University of Minnesota","Minneapolis, MN 55454",,,
Jackson State University,Clinical Ph.D.,1325 J.R. Lynch Street | P. O. Box 17550,"Jackson, MS 39217-0350","October 19, 2001",Accredited,Next site visit scheduled 2033
"Withdrawn, effective October 19, 2024 University of Minnesota",Clinical Ph.D.,N218 Elliott Hall | 75 East River Road S.E.,"Minneapolis, MN 55455","February 13, 1948",Accredited,Next site visit scheduled 2027
Kansas City University,Clinical Psy.D.,,,,,
University of Mississippi,Clinical Ph.D.,"Peabody Building, Room 310D | PO Box 1848","University, MS 38677","November 06, 1973",Accredited,Next site visit scheduled 2031
"University of Missouri, Columbia",Clinical Ph.D.,210 McAlester Hall | University of Missouri,"Columbia, MO 65211","January 24, 1958",Accredited,Next site visit scheduled 2034
Saint Louis University,Clinical Ph.D.,Department of Psychology | 3700 Lindell Blvd.,"St. Louis, MO 63108","May 22, 1964",Accredited,Next site visit scheduled 2031
Washington University in St. Louis,Clinical Ph.D.,Campus Box 1125 | One Brookings Drive,"St. Louis, MO 63130","February 20, 1948",Accredited,Next site visit scheduled 2028
University of Nevada Las Vegas,Clinical Ph.D.,"4505 S. Maryland Parkway, Box 455030","Las Vegas, NV 89154-5030","October 07, 2005",Accredited,Next site visit scheduled 2034
The University of Montana,Clinical Ph.D.,"Department of Psychology | 32 Campus Drive, Mail Stop 1584","Missoula, MT 59812","March 13, 1970",Accredited,Next site visit scheduled 2027
University of Missouri Kansas City,Clinical Ph.D.,"5030 Cherry Street, Room 324","Kansas City, MO 64110","February 06, 2004",Accredited,Next site visit scheduled 2028
"University of Nevada, Reno",Clinical Ph.D.,"Clinical Psychology, Mail Stop 298 | 1664 North Virginia Street","Reno, NV 89557","March 01, 1972",Accredited,Next site visit scheduled 2028
Antioch University New England,Clinical Psy.D.,,,,,
"University of Nebraska, Lincoln",Clinical Ph.D.,238 Burnett Hall | P.O. Box 880308,"Lincoln, NE 68588-0308","December 14, 1948",Accredited,Next site visit scheduled 2029
"University of Missouri, St. Louis",Clinical Ph.D.,325 Stadler Hall/Psychology | One University Boulevard,"St. Louis, MO 63121","May 03, 1977",Accredited,Next site visit scheduled 2034
Rutgers- The State University of New Jersey,Clinical Psy.D.,Graduate School of Applied & Professional | Psychology | 152 Frelinghuysen Road,"Piscataway, NJ 08854-8085","April 01, 1977",Accredited,Next site visit scheduled 2023
Fairleigh Dickinson University,Clinical Ph.D.,1000 River Road | Fairleigh Dickinson University,"Teaneck, NJ 07666","October 21, 1986",Accredited,Next site visit scheduled 2033
Adelphi University,Clinical Ph.D.,Hy Weinberg Center | 158 Cambridge Avenue,"Garden City, NY 11530","April 01, 1957",Accredited,Next site visit scheduled 2029
Montclair State University,Clinical Ph.D.,1 Normal Avenue | Dickson Hall 219,"Montclair, NJ 07043","April 05, 2020",Accredited,Next site visit scheduled 2033
University at Albany,Clinical Ph.D.,,,,,
Rowan University,Clinical Ph.D.,201 Mullica Hill Road,"Glassboro, NJ 08028","April 07, 2019",Accredited,Next site visit scheduled 2033
William Paterson University,Clinical Psy.D.,300 Pompton Road | Science Hall 250,"Wayne, NJ 07470","April 15, 2018",Accredited,Next site visit scheduled 2031
Rutgers – The State University of New Jersey,Clinical Ph.D.,Graduate School of Arts and Sciences | 152 Frelinghuysen Road,"Piscataway, NJ 08854-8020","January 08, 1965",Accredited,Next site visit scheduled 2029
University of New Mexico,Clinical Ph.D.,MSC03 2220 | 1 University of New Mexico,"Albuquerque, NM 87131-0001","November 20, 1973",Accredited,Next site visit scheduled 2034
City University of New York,Clinical Ph.D.,695 Park Avenue | Room HN-611,"New York, NY 10016-4309","April 07, 2019",Accredited,Next site visit scheduled 2033
,Clinical Ph.D.,365 Fifth Avenue,"New York, NY 10016","November 07, 2014",Accredited,Next site visit scheduled 2034
Binghamton University State University of New York,Clinical Ph.D.,4400 Vestal Parkway East,"Binghamton, NY 13902","May 12, 1981",Accredited,Next site visit scheduled 2034
D’Youville University/Medaille University Teach-Out,Clinical Psy.D.,320 Porter Avenue,"Buffalo, NY 14201","September 01, 2023","Accredited, on contingency – Inactive",Next site visit scheduled 2027
Fordham University,Clinical Ph.D.,441 East Fordham Road | Dealy Hall 226,"Bronx, NY 10458","February 26, 1948",Accredited,Next site visit scheduled 2034
University at Buffalo State University of New York,Clinical Ph.D.,,,,,
"John Jay College of Criminal Justice & The Graduate Center, CUNY",Clinical Ph.D.,John Jay College | 524 W. 59th St.,"New York, NY 10019","March 27, 2015",Accredited,Next site visit scheduled 2035
Long Island University,Clinical Ph.D.,Long Island University | Department of Psychology | 1 University Plaza,"Brooklyn, NY 11201-8423","April 01, 1974",Accredited,Next site visit scheduled 2033
Long Island University C.W. Post Campus,Clinical Psy.D.,Life Sciences | 720 Northern Boulevard,"Brookville, NY 11548","May 10, 1994","Accredited, on probation",Next site visit scheduled 2023
"The City College of New York The Graduate Center, CUNY",Clinical Ph.D.,,,,,
Hofstra University,Clinical Ph.D.,Hauser Hall 221A,"Hempstead, NY 11549","October 16, 1973",Accredited,Next site visit scheduled 2029
The New School,Clinical Ph.D.,,,,,
Yeshiva University,Clinical Psy.D.,Clinical Psychology Program | 1165 Morris Park Avenue | Rousso Building,"Bronx, NY 10461","November 07, 1985",Accredited,Next site visit scheduled 2035
Stony Brook University State University of New York,Clinical Ph.D.,313 Psychology B | Syracuse University,"Stony Brook, NY 11794","November 1, 1970",Accredited – Inactive,
Pace University,Clinical Ph.D.,52 Broadway,"New York, NY 10004","January 22, 2025","Accredited, on contingency",Next site visit scheduled 2028
Syracuse University,Clinical Ph.D.,430 Huntington Hall,"Syracuse, NY 13244-2340","October 30, 1956",Accredited,Next site visit scheduled 2031
Appalachian State University,Clinical Psy.D.,Dept. of Psychology | 222 Joyce Lawrence Ln,"Boone, NC 28608","February 2, 2024","Accredited, on contingency",Next site visit scheduled 2027
"Teachers College, Columbia University",Clinical Ph.D.,"525 West 120th Street, Box 102","New York, NY 10027-6696","February 27, 1948",Accredited,Next site visit scheduled 2031
University of Rochester,Clinical Ph.D.,Box 270266,"Rochester, NY 14627-0266","March 02, 1948",Accredited,Next site visit scheduled 2028
Duke University,Clinical Ph.D.,"417 Chapel Drive, Box 90086","Durham, NC 27708","February 23, 1948",Accredited,Next site visit scheduled 2032
St. John’s University,Clinical Ph.D.,Department of Psychology | 8000 Utopia Parkway,"Queens, NY 11439","October 30, 1984",Accredited,Next site visit scheduled 2035
East Carolina University,Clinical Ph.D.,104 Rawl | East 5th Street | East Carolina University,"Greenville, NC 27858","April 20, 2012",Accredited,Next site visit scheduled 2031
Yeshiva University,Clinical Ph.D.,1165 Morris Park Avenue | Rousso Building,"Bronx, NY 10461","October 11, 2005",Accredited,Next site visit scheduled 2023
"University of North Carolina, Chapel Hill",Clinical Ph.D.,"Campus Box 3270, Davie Hall","Chapel Hill, NC 27599-3270","February 12, 1949",Accredited,Next site visit scheduled 2033
University of Cincinnati,Clinical Ph.D.,2800 Clifton Avenue | P.O. Box 210376 | 3200 Suite - Clifton Court Hall,"Cincinnati, OH 45221","February 01, 1948",Accredited,Next site visit scheduled 2023
University of North Dakota,Clinical Ph.D.,Box 8380,"Grand Forks, ND 58202-8380","November 01, 1969",Accredited,Next site visit scheduled 2027
University of North Carolina at Charlotte,Clinical Ph.D.,9201 University City Blvd.,"Charlotte, NC 28223-0001","October 02, 2012",Accredited,Next site visit scheduled 2027
"University of North Carolina, Greensboro",Clinical Ph.D.,Department of Psychology | P.O. Box 26170,"Greensboro, NC 27402-6170","July 10, 1981",Accredited,Next site visit scheduled 2033
Kent State University,Clinical Ph.D.,"Department of Psychological Sciences | Kent Hall, Room 144","Kent, OH 44242","December 01, 1968",Accredited,Next site visit scheduled 2031
University of North Carolina Wilmington,Clinical Ph.D.,PhD General Clinical Psychology Program | UNCW Psychology Department | 601 S College Rd,"Wilmington, NC 28403","April 11, 2021",Accredited,
Bowling Green State University,Clinical Ph.D.,243 Psychology Building,"Bowling Green, OH 43403","November 01, 1970",Accredited,Next site visit scheduled 2023
Miami University,Clinical Ph.D.,90 N. Patterson Avenue,"Oxford, OH 45056","February 01, 1972",Accredited,Next site visit scheduled 2031
Case Western Reserve University,Clinical Ph.D.,10900 Euclid Avenue,"Cleveland, OH 44106-7123","February 01, 1948",Accredited,Next site visit scheduled 2034
The Ohio State University,Clinical Ph.D.,147 Psychology Building | 1835 Neil Avenue,"Columbus, OH 43210-1287","February 27, 1948",Accredited,Next site visit scheduled 2029
University of Oregon,Clinical Ph.D.,1227 University of Oregon | 1715 Franklin Blvd.,"Eugene, OR 97403-1227","March 20, 1958",Accredited,Next site visit scheduled 2028
Oklahoma City University,Clinical Psy.D.,2501 N Blackwelder,"Oklahoma City, OK 73106","February 28, 2023","Accredited, on contingency",Next site visit scheduled 2026
Oklahoma State University,Clinical Ph.D.,116 North Murray | Oklahoma State University,"Stillwater, OK 74078","February 01, 1971",Accredited,Next site visit scheduled 2033
Ohio University,Clinical Ph.D.,Ohio University | Porter Hall 200,"Athens, OH 45701-2979","April 11, 1968",Accredited,Next site visit scheduled 2028
University of Toledo,Clinical Ph.D.,"2801 West Bancroft Street, Mail Stop 948","Toledo, OH 43606","June 01, 1979",Accredited,Next site visit scheduled 2024
Oregon Health & Science University,Clinical Ph.D.,"Department of Psychiatry | 3181 SW Sam Jackson Park Road, MC OPO2","Portland, OR 97239","November 09, 2022","Accredited, on contingency",Next site visit scheduled 2026
Wright State University,Clinical Psy.D.,117 Health Sciences Bldg. | 3640 Colonel Glenn Hwy.,"Dayton, OH 45435-0001","March 16, 1982",Accredited,Next site visit scheduled 2029
University of Tulsa,Clinical Ph.D.,Department of Psychology | 800 South Tucker Drive,"Tulsa, OK 74104","January 18, 1991",Accredited,Next site visit scheduled 2030
Pacific University,Clinical Ph.D.,Office of the President | 2043 College Way,"Forest Grove, OR 97116","February 28, 2017",Accredited,Next site visit scheduled 2030
Xavier University,Clinical Psy.D.,Department of Psychology | 3800 Victory Parkway,"Cincinnati, OH 45207-6511","May 04, 2001",Accredited,Next site visit scheduled 2032
"Pacific University, Oregon",Clinical Psy.D.,,,,,
George Fox University,Clinical Psy.D.,"501 Villa Rd., Box 6104","Newberg, OR 97132","August 21, 1998",Accredited,Next site visit scheduled 2027
Marywood University,Clinical Psy.D.,2300 Adams Avenue,"Scranton, PA 18509","April 21, 2006",Accredited,Next site visit scheduled 2033
Immaculata University,Clinical Psy.D.,,,,,
University of Pennsylvania,Clinical Ph.D.,425 South University Avenue | Levin Building,"Philadelphia, PA 19104-6018","February 07, 1948",Accredited,Next site visit scheduled 2033
Chestnut Hill College,Clinical Psy.D.,9601 Germantown Avenue,"Philadelphia, PA 19118-2693","June 15, 2004",Accredited,Next site visit scheduled 2033
Pennsylvania State University,Clinical Ph.D.,140 Moore Bldg.,"University Park, PA 16802","February 24, 1948",Accredited,Next site visit scheduled 2034
Drexel University,Clinical Ph.D.,3141 Chestnut Street | Psychology - Stratton Building Suite 119,"Philadelphia, PA 19104","January 31, 1997",Accredited,Next site visit scheduled 2027
Indiana University of Pennsylvania,Clinical Psy.D.,1020 Oakland Avenue | Uhler Hall Room 201A,"Indiana, PA 15705-1068","November 03, 1987",Accredited,Next site visit scheduled 2032
Duquesne University,Clinical Ph.D.,McAnulty College and | Graduate School of Liberal Arts | 600 Forbes Avenue | 211 Rockwell Hall,"Pittsburgh, PA 15282-1753","November 16, 2001",Accredited,Next site visit scheduled 2023
La Salle University,Clinical Psy.D.,"Psy.D. Clinical Psychology Program | 1900 W. Olney Avenue, Box 842","Philadelphia, PA 19141","March 18, 2003",Accredited,Next site visit scheduled 2028
Philadelphia College of Osteopathic Medicine,Clinical Psy.D.,4190 City Avenue,"Philadelphia, PA 19131-1695","May 13, 2003",Accredited,Next site visit scheduled 2033
University of Pittsburgh,Clinical Ph.D.,210 S. Bouquet Street | 3809 Sennott Square,"Pittsburgh, PA 15260","February 20, 1948",Accredited,Next site visit scheduled 2034
"Carlos Albizu University, San Juan Campus",Clinical Ph.D.,,,,,
University of Rhode Island,Clinical Ph.D.,"142 Flagg Road, 306 Chafee Building","Kingston, RI 02881","April 01, 1972",Accredited,Next site visit scheduled 2028
Point Park University,Clinical Psy.D.,201 Wood Street,"Pittsburgh, PA 15222","July 21, 2019",Accredited,Next site visit scheduled 2033
"Carlos Albizu University, San Juan Campus",Clinical Psy.D.,,,,,
University of South Carolina,Clinical Ph.D.,1512 Pendleton Street,"Columbia, SC 29208","October 01, 1969",Accredited,Next site visit scheduled 2029
Temple University,Clinical Ph.D.,"1701 N. 13th Street, Weiss Hall","Philadelphia, PA 19122-6085","March 18, 1958",Accredited,Next site visit scheduled 2023
Ponce Health Sciences University,Clinical Psy.D.,,,,,
Ponce Health Sciences University,Clinical Ph.D.,,,,,
The University of South Dakota,Clinical Ph.D.,414 E. Clark Street (USD 105),"Vermillion, SD 57069","November 01, 1971",Accredited,Next site visit scheduled 2023
West Chester University of Pennsylvania,Clinical Psy.D.,700 S. High Street,"West Chester, PA 19383","July 21, 2019",Accredited,Next site visit scheduled 2033
University of Puerto Rico,Clinical Ph.D.,9 Ave Universidad Ste 901,"San Juan, PR 00925-2529","October 25, 2020",Accredited,Next site visit scheduled 2029
Widener University,Clinical Psy.D.,Institute for Graduate Clinical Psychology | One University Place,"Chester, PA 19013-5792","July 01, 1989",Accredited,Next site visit scheduled 2029
East Tennessee State University,Clinical Ph.D.,Box 70649,"Johnson City, TN 37614","August 21, 2012",Accredited,Next site visit scheduled 2027
Carlos Albizu University,Clinical Psy.D.,"Carr. 64 Esquina Calle #3, Urb. Industrial","Mayagüez, PR 00680","May 22, 2024","Accredited, on contingency",Next site visit scheduled 2028
The University of Memphis,Clinical Ph.D.,,,,,
Vanderbilt University,Clinical Ph.D.,Clinical Sciences Program in Psychological | Sciences | PMB 407817 | 2301 Vanderbilt Place,"Nashville, TN 37240-7817","April 01, 1959",Accredited,Next site visit scheduled 2034
Baylor University,Clinical Psy.D.,"One Bear Place #97334, BSB 330-A | Baylor University","Waco, TX 76798","April 26, 1976",Accredited,
University of Tennessee - Knoxville,Clinical Ph.D.,416 Austin Peay Building | 1404 Circle Drive,"Knoxville, TN 37996-0900","February 09, 1949",Accredited,Next site visit scheduled 2023
University of North Texas,Clinical Ph.D.,Clinical Psychology Program | 1155 Union Circle #311280,"Denton, TX 76203-5017","December 05, 1978",Accredited,Next site visit scheduled 2031
"The Chicago School, Dallas Campus",Clinical Psy.D.,"6275 W Plano Pkwy, Suite 130","Plano, TX 75093","November 8, 2024","Accredited, on contingency",Next site visit scheduled 2027
University of Houston,Clinical Ph.D.,"3695 Cullen Blvd, Room 126","Houston, TX 77204-5022","January 01, 1959",Accredited,Next site visit scheduled 2028
Sam Houston State University,Clinical Ph.D.,Box 2210,"Huntsville, TX 77341-2210","June 02, 2006",Accredited,Next site visit scheduled 2028
University of Texas Southwestern Medical Center,Clinical Ph.D.,5323 Harry Hines Boulevard,"Dallas, TX 75390-9044","January 17, 1986",Accredited,Next site visit scheduled 2035
Southern Methodist University,Clinical Ph.D.,"6116 N. Central Expressway, Suite 1300","Dallas, TX 75275-0442","May 19, 2009",Accredited,Next site visit scheduled 2031
University of Texas at Tyler,Clinical Ph.D.,3900 University Blvd.,"Tyler, TX 75799","February 27, 2024","Accredited, on contingency",Next site visit scheduled 2027
University of Texas at Austin,Clinical Ph.D.,"Seay Building, 4.212 | 108 E. Dean Keeton A8000 | Department of Psychology","Austin, TX 78712","February 01, 1949",Accredited,Next site visit scheduled 2033
Texas A&M University,Clinical Ph.D.,Department of Psychological & Brain | Sciences | 4258 TAMU | Texas A&M University | Texas A&M University,"College Station, TX 77843-4235","April 08, 1988",Accredited,
Brigham Young University,Clinical Ph.D.,284 TLRB,"Provo, UT 84602","March 01, 1971",Accredited,Next site visit scheduled 2028
Texas Tech University,Clinical Ph.D.,Box 42051,"Lubbock, TX 79409-2051","March 01, 1972",Accredited,Next site visit scheduled 2034
University of Utah,Clinical Ph.D.,"380 South 1530 East, Room 502","Salt Lake City, UT 84112-0251","December 08, 1954",Accredited,Next site visit scheduled 2032
University of Texas Rio Grande Valley,Clinical Ph.D.,1201 West University Drive,"Edinburg, TX 78539","January 26, 2024","Accredited, on contingency",Next site visit scheduled 2027
George Mason University,Clinical Ph.D.,"4400 University Drive, MSN 3F5","Fairfax, VA 22030","May 15, 1987",Accredited,Next site visit scheduled 2033
Virginia Consortium Program in Clinical Psychology,Clinical Ph.D.,Old Dominion University | 234 Mills Godwin Life Sciences Building,"Norfolk, VA 23529","November 12, 2013",Accredited – Inactive,Next site visit scheduled 2032
Virginia Polytechnic Institute and State University,Clinical Ph.D.,Psychological Services Center | 3110 Prices Fork Road,"Blacksburg, VA 24061-0355","April 17, 1980",Accredited,Next site visit scheduled 2034
Regent University,Clinical Psy.D.,1000 Regent University Drive,"Virginia Beach, VA 23464-9800","March 14, 2002",Accredited,Next site visit scheduled 2029
Antioch University Seattle,Clinical Psy.D.,"2400 3rd Avenue, Suite 200","Seattle, WA 98121","December 02, 2016",Accredited,Next site visit scheduled 2033
University of Virginia,Clinical Ph.D.,P.O. Box 400400,"Charlottesville, VA 22904-4400","October 25, 1988",Accredited,Next site visit scheduled 2028
University of Vermont,Clinical Ph.D.,2 Colchester Avenue,"Burlington, VT 05405-0134","November 12, 1973",Accredited,Next site visit scheduled 2027
Divine Mercy University,Clinical Psy.D.,45154 Underwood Lane,"Sterling, VA 20166","April 22, 2016",Accredited,Next site visit scheduled 2023
Seattle Pacific University,Clinical Ph.D.,"3307 Third Avenue West, Suite 107","Seattle, WA 98119","October 17, 2006",Accredited,Next site visit scheduled 2031
Virginia Commonwealth University,Clinical Ph.D.,806 West Franklin Street Box 842018,"Richmond, VA 23284-2018","April 01, 1975",Accredited,Next site visit scheduled 2028
University of Washington,Clinical Ph.D.,Box 351525,"Seattle, WA 98195","March 03, 1948",Accredited,Next site visit scheduled 2027
Marquette University,Clinical Ph.D.,"Cramer Hall, Room 317 | 604 N. 16th Street","Milwaukee, WI 53233","December 01, 2000",Accredited,Next site visit scheduled 2028
Washington State University,Clinical Ph.D.,Johnson Tower 233,"Pullman, WA 99164-4820","February 14, 1956",Accredited,Next site visit scheduled 2031
Wisconsin School of Professional Psychology,Clinical Psy.D.,"9120 West Hampton Avenue, Suite 212","Milwaukee, WI 53225","November 30, 2007",Accredited,Next site visit scheduled 2031
"University of Wisconsin, Madison",Clinical Ph.D.,1202 West Johnson Street,"Madison, WI 53706","February 12, 1948",Accredited,Next site visit scheduled 2029
Marshall University,Clinical Psy.D.,Marshall University | 1 John Marshall Drive,"Huntington, WV 25755-2672","March 14, 2006",Accredited,Next site visit scheduled 2028
University of Wyoming,Clinical Ph.D.,Department #3415 | 1000 E. University Avenue,"Laramie, WY 82071","December 08, 1972",Accredited,Next site visit scheduled 2035
West Virginia University,Clinical Ph.D.,53 Campus Drive | P. O. Box 6040 | Department of Psychology,"Morgantown, WV 26506-6040","January 01, 1966",Accredited,Next site visit scheduled 2030
"University of Wisconsin, Milwaukee",Clinical Ph.D.,Garland 224 | 2441 East Hartford Avenue,"Milwaukee, WI 53211","October 14, 1980",Accredited,Next site visit scheduled 2023
